Week,Day,Description,Notes
1,Mon,15 min jog,"Allowed to walk, but not part of training"
,Tue,REST,
,Wed,20 min jog,"Allowed to walk, but not part of training"
,Thu,REST,
,Fri,REST,
,Sat,25 min jog,"Allowed to walk, but not part of training"
,Sun,1 hr ramble,No pressure

2,Mon,25 min jog,
,Tue,REST,
,Wed,35 min jog,
,Thu,REST,
,Fri,REST,
,Sat,30 min jog,
,Sun,75 min ramble,

3,Mon,30 min jog,
,Tue,REST,
,Wed,40 min jog,
,Thu,REST,
,Fri,REST,
,Sat,35 min jog,
,Sun,90 min ramble,

4,Mon,35 min jog,
,Tue,REST,
,Wed,45 min jog,
,Thu,REST,
,Fri,REST,
,Sat,35 min jog,
,Sun,1 hr jog/walk,

5,Mon,20 min run,
,Tue,REST,
,Wed,50 min jog,
,Thu,REST,
,Fri,REST,
,Sat,Timed run over 2M course,
,Sun,90 min ramble/10K road race,

6,Mon,30 min run,
,Tue,REST,
,Wed,60 min jog,
,Thu,REST,
,Fri,REST,
,Sat,30 min run,
,Sun,105 min jog/walk,

7,Mon,45 min run,
,Tue,REST,
,Wed,60 min run,
,Thu,REST,
,Fri,45 min run,
,Sat,45 min run,
,Sun,10M run,

8,Mon,45 min run,
,Tue,REST,
,Wed,60 min jog,
,Thu,REST,
,Fri,45 min run,
,Sat,45 min run,
,Sun,2 hr jog/walk OR 13.1 race,

9,Mon,60 min run,
,Tue,REST,
,Wed,"3x2M, timed, 5 min rest after each",
,Thu,REST,
,Fri,60 min run,
,Sat,60 min run,
,Sun,"10M run, walking when necessary",

10,Mon,60 min run,
,Tue,REST,
,Wed,"5M run, timed",
,Thu,REST,
,Fri,60 min run,
,Sat,60 min run,
,Sun,"Long, slow 14M run",

11,Mon,60 min run,
,Tue,REST,
,Wed,"3x2M, timed, 5 min rest after each",
,Thu,REST,
,Fri,60 min run,
,Sat,60 min run,
,Sun,"Long, slow 16M run",

12,Mon,45 min run,
,Tue,REST,
,Wed,"5M run, timed",At a faster pace
,Thu,REST,
,Fri,45 min run,
,Sat,45 min run,
,Sun,13.1 race,

13,Mon,45 min run,
,Tue,REST,
,Wed,"3x2M, timed, 5 min rest after each",Aim at faster avg than week 11
,Thu,REST,
,Fri,45 min run,
,Sat,45 min run,
,Sun,20M endurance run,"Taking drinks, walking 5 mins in every hour"

14,Mon,25 min run,
,Tue,REST,
,Wed,"3M run, timed",
,Thu,REST,
,Fri,25 min run,Marathon pace
,Sat,15 min run,
,Sun,"10K/10M race OR 10M run, inc 5M at a brisk pace",

15,Mon,20 min run,
,Tue,REST,
,Wed,30 min run,Marathon pace
,Thu,REST,
,Fri,"2x1M session, timed",
,Sat,15 min run,
,Sun,1 hour inc 30 mins,Marathon pace

16,Mon,20 min easy,
,Tue,REST,
,Wed,"30 min easy, inc a few strides",
,Thu,REST,
,Fri,REST,
,Sat,20 min jog,In racing kit
,Sun,RACE DAY,
