Week,Day,Description,Notes
1,Mon,REST,
,Tue,15 min jog,"Allowed to walk, but not part of training"
,Wed,20 min jog,"Allowed to walk, but not part of training"
,Thu,REST,
,Fri,REST,
,Sat,25 min jog,"Allowed to walk, but not part of training"
,Sun,1 hr ramble,No pressure

2,Mon,REST,
,Tue,25 min jog,
,Wed,35 min jog,
,Thu,REST,
,Fri,REST,
,Sat,30 min jog,
,Sun,75 min ramble,

3,Mon,REST,
,Tue,30 min jog,
,Wed,40 min jog,
,Thu,REST,
,Fri,REST,
,Sat,35 min jog,
,Sun,90 min ramble,

4,Mon,REST,
,Tue,35 min jog,
,Wed,45 min jog,
,Thu,REST,
,Fri,REST,
,Sat,35 min jog,
,Sun,1 hr jog/walk,

5,Mon,REST,
,Tue,20 min run,
,Wed,50 min jog,
,Thu,REST,
,Fri,REST,
,Sat,Timed run over 2M course,
,Sun,90 min ramble/10K road race,

6,Mon,REST,
,Tue,30 min run,
,Wed,60 min jog,
,Thu,REST,
,Fri,REST,
,Sat,30 min run,
,Sun,105 min jog/walk,

7,Mon,REST,
,Tue,45 min run,
,Wed,60 min run,
,Thu,45 min run,
,Fri,REST,
,Sat,45 min run,
,Sun,10M run,

8,Mon,REST,
,Tue,45 min run,
,Wed,60 min jog,
,Thu,45 min run,
,Fri,REST,
,Sat,45 min run,
,Sun,2 hr jog/walk OR 13.1 race,

9,Mon,REST,
,Tue,60 min run,At 10 min: 5x1 min PU @ 1 min jog
,Wed,"3x2M, timed, 5 min rest after each",
,Thu,60 min run,At 10 min: 5x1 min PU @ 1 min jog
,Fri,REST,
,Sat,60 min run,
,Sun,"10M run, walking when necessary",

10,Mon,REST,
,Tue,60 min run,At 10 min: 10x2 min Z4 @ 1 min jog
,Wed,"5M run, timed",
,Thu,60 min run,At 10 min: 10x2 min Z4 @ 1 min jog
,Fri,REST,
,Sat,60 min run,
,Sun,"Long, slow 14M run",

11,Mon,REST,
,Tue,60 min run,At 45 min: 10 min Z4
,Wed,"3x2M, timed, 5 min rest after each",
,Thu,60 min run,At 45 min: 10 min Z4
,Fri,REST,
,Sat,60 min run,
,Sun,"Long, slow 16M run",

12,Mon,REST,
,Tue,60 min run,At 10 min: 8x3 min Z4 @ 1.5 min jog
,Wed,"5M run, timed",At a faster pace
,Thu,60 min run,At 10 min: 8x3 min Z4 @ 1.5 min jog
,Fri,REST,
,Sat,45 min run,
,Sun,13.1 race,

13,Mon,REST,
,Tue,60 min run,At 40 min: 12.5 min Z4
,Wed,"3x2M, timed, 5 min rest after each",Aim at faster avg than week 11
,Thu,60 min run,At 40 min: 12.5 min Z4
,Fri,REST,
,Sat,45 min run,
,Sun,20M endurance run,"Taking drinks, walking 5 mins in every hour"

14,Mon,REST,
,Tue,45 min run,At 10 min: 3x6 min Z4 @ 3 min jog
,Wed,"3M run, timed",
,Thu,45 min run,At 10 min: 3x6 min Z4 @ 3 min jog
,Fri,REST,
,Sat,15 min run,
,Sun,"10K/10M race OR 10M run, inc 5M at a brisk pace",

15,Mon,REST,
,Tue,20 min run,
,Wed,30 min run,Marathon pace
,Thu,"2x1M session, timed",
,Fri,REST,
,Sat,15 min run,
,Sun,1 hour inc 30 mins,Marathon pace

16,Mon,REST,
,Tue,20 min easy,
,Wed,"30 min easy, inc a few strides",
,Thu,REST,
,Fri,REST,
,Sat,20 min jog,In racing kit
,Sun,RACE DAY,
