Week,Day,Description,Notes
1,Mon,Strength Building,
,Tue,,
,Wed,,
,Thu,,
,Fri,Strength Building,
,Sat,,
,Sun,,
2,Mon,Strength Building,
,Tue,,
,Wed,,
,Thu,,
,Fri,Strength Building,
,Sat,,
,Sun,,
3,Mon,Strength Building,
,Tue,,
,Wed,,
,Thu,,
,Fri,Strength Building,
,Sat,,
,Sun,,
4,Mon,Strength Building,
,Tue,,
,Wed,,
,Thu,,
,Fri,Strength Building,
,Sat,,
,Sun,,
5,Mon,Strength Building,
,Tue,,
,Wed,,
,Thu,,
,Fri,Strength Building,
,Sat,,
,Sun,,
6,Mon,Hypertrophy & Volume,
,Tue,,
,Wed,,
,Thu,,
,Fri,Hypertrophy & Volume,
,Sat,,
,Sun,,
7,Mon,Hypertrophy & Volume,
,Tue,,
,Wed,,
,Thu,,
,Fri,Hypertrophy & Volume,
,Sat,,
,Sun,,
8,Mon,Hypertrophy & Volume,
,Tue,,
,Wed,,
,Thu,,
,Fri,Hypertrophy & Volume,
,Sat,,
,Sun,,
9,Mon,Hypertrophy & Volume,
,Tue,,
,Wed,,
,Thu,,
,Fri,Hypertrophy & Volume,
,Sat,,
,Sun,,
10,Mon,Hypertrophy & Volume,
,Tue,,
,Wed,,
,Thu,,
,Fri,Hypertrophy & Volume,
,Sat,,
,Sun,,
11,Mon,High Volume & Functional Strength,
,Tue,,
,Wed,,
,Thu,,
,Fri,High Volume & Functional Strength,
,Sat,,
,Sun,,
12,Mon,High Volume & Functional Strength,
,Tue,,
,Wed,,
,Thu,,
,Fri,High Volume & Functional Strength,
,Sat,,
,Sun,,
13,Mon,High Volume & Functional Strength,
,Tue,,
,Wed,,
,Thu,,
,Fri,High Volume & Functional Strength,
,Sat,,
,Sun,,
14,Mon,High Volume & Functional Strength,
,Tue,,
,Wed,,
,Thu,,
,Fri,High Volume & Functional Strength,
,Sat,,
,Sun,,
15,Mon,,
,Tue,,
,Wed,,
,Thu,,
,Fri,,
,Sat,,
,Sun,,
16,Mon,,
,Tue,,
,Wed,,
,Thu,,
,Fri,,
,Sat,,
,Sun,,
