Week,Day,Description,Notes
1,Mon,,
,Tue,Strength Building,
,Wed,,
,Thu,Strength Building,
,Fri,,
,Sat,,
,Sun,,
2,Mon,,
,Tue,Strength Building,
,Wed,,
,Thu,Strength Building,
,Fri,,
,Sat,,
,Sun,,
3,Mon,,
,Tue,Strength Building,
,Wed,,
,Thu,Strength Building,
,Fri,,
,Sat,,
,Sun,,
4,Mon,,
,Tue,Strength Building,
,Wed,,
,Thu,Strength Building,
,Fri,,
,Sat,,
,Sun,,
5,Mon,,
,Tue,Strength Building,
,Wed,,
,Thu,Strength Building,
,Fri,,
,Sat,,
,Sun,,
6,Mon,,
,Tue,Hypertrophy & Volume,
,Wed,,
,Thu,Hypertrophy & Volume,
,Fri,,
,Sat,,
,Sun,,
7,Mon,,
,Tue,Hypertrophy & Volume,
,Wed,,
,Thu,Hypertrophy & Volume,
,Fri,,
,Sat,,
,Sun,,
8,Mon,,
,Tue,Hypertrophy & Volume,
,Wed,,
,Thu,Hypertrophy & Volume,
,Fri,,
,Sat,,
,Sun,,
9,Mon,,
,Tue,Hypertrophy & Volume,
,Wed,,
,Thu,Hypertrophy & Volume,
,Fri,,
,Sat,,
,Sun,,
10,Mon,,
,Tue,Hypertrophy & Volume,
,Wed,,
,Thu,Hypertrophy & Volume,
,Fri,,
,Sat,,
,Sun,,
11,Mon,,
,Tue,High Volume & Functional Strength,
,Wed,,
,Thu,High Volume & Functional Strength,
,Fri,,
,Sat,,
,Sun,,
12,Mon,,
,Tue,High Volume & Functional Strength,
,Wed,,
,Thu,High Volume & Functional Strength,
,Fri,,
,Sat,,
,Sun,,
13,Mon,,
,Tue,High Volume & Functional Strength,
,Wed,,
,Thu,High Volume & Functional Strength,
,Fri,,
,Sat,,
,Sun,,
14,Mon,,
,Tue,High Volume & Functional Strength,
,Wed,,
,Thu,High Volume & Functional Strength,
,Fri,,
,Sat,,
,Sun,,
15,Mon,,
,Tue,,
,Wed,,
,Thu,,
,Fri,,
,Sat,,
,Sun,,
16,Mon,,
,Tue,,
,Wed,,
,Thu,,
,Fri,,
,Sat,,
,Sun,,
